factset_entity_id,vendor_id
08D66J-E, 49809662
08TJB5-E, 156229824
05WLZP-E, 156203321
068BQD-E, 142919627
0DDGKQ-E, 156271894
07QSPM-E, 178565806
05PLRQ-E, 146707094
09V1Q2-E, 142908752
07ZGZM-E, 52169862
0019H1-E, 38130336
08JGH5-E, 298707546
0BW2CB-E, 267185650
07PD8K-E, 49772584
07XF3B-E, 22005209
07JMPW-E, 49769961
0GQ93R-E, 155922578
06188W-E, 142802487
0C7C8K-E, 49890182
0868GL-E, 39667279
09B0RS-E, 52149169
07XQJ8-E, 156271894
07V21P-E, 63205487
0FMHN1-E, 19889595
07PB6S-E, 30596100
0CPVCJ-E, 19883902
08407H-E, 60999962
05PGZ6-E, 21692819
075K06-E, 59187170
0809QR-E, 62622307
0FT1C2-E, 142852455
087YWC-E, 156283434
065B70-E, 23014566
0613JJ-E, 21621858
064VQ7-E, 49847988
08G3SX-E, 21342413
00GHJQ-E, 63227121
08TLLN-E, 21342413
0F50JC-E, 19215188
003RKK-E, 136317904
0DVL2P-E, 156222111
06GN9S-E, 136317904
09T76M-E, 146610261
085GH1-E, 46118361
008TZ7-E, 284219909
0GZM7H-E, 146709892
05PFPF-E, 52169862
07PBPJ-E, 62598409
07PW7W-E, 19886230
0798C8-E, 57280221
07W97J-E, 19889383
07XCZT-E, 57275086
09VTZ9-E, 178369546
08TWS0-E, 138709536
0FW2HX-E, 37833154
09T8FJ-E, 142957440
061DPJ-E, 156256528
06BKM5-E, 146593548
07VQJ5-E, 51493646
07ZKY7-E, 279187742
07RLDZ-E, 156264374
08GQFR-E, 39957373
07TYLG-E, 136317904
0948NJ-E, 156222111
09V1WB-E, 147041668
0DGVV8-E, 134800121
09V0QK-E, 142804470
0DMC71-E, 39957373
06Z875-E, 156351820
0DYT2Z-E, 61059094
07BGN0-E, 49760854
073PK2-E, 156273709
07TQ6P-E, 156259609
007FDY-E, 41704973
064QNM-E, 143326448
07KDZY-E, 142816596
0FKF5K-E, 61385520
0BH1T0-E, 142852455
061710-E, 49803455
06TVTX-E, 178565806
0G76X2-E, 21884770
0660Y5-E, 142805135
097BD6-E, 46944334
07QTFF-E, 56129986
0930T9-E, 153411796
07XDFC-E, 156239661
05TD8M-E, 21641337
07PC85-E, 19665649
0GQ2SC-E, 56174576
0DGCT8-E, 61059094
0809G5-E, 19890551
0699L3-E, 22588754
0DC0K6-E, 156334621
09T5X4-E, 146889240
0CB84M-E, 51023724
07W95Y-E, 57803099
0DJ6J8-E, 27828620
0930JZ-E, 138709536
05LHDY-E, 52989406
0HC2VV-E, 144231356
0FLW1L-E, 139273844
0C8SPV-E, 156351506
0D669D-E, 49910789
07XFK7-E, 63225922
0BNHD3-E, 89827975
07K4FW-E, 49805989
07ZG1V-E, 313800693
0CJVTN-E, 19893406
083T4Y-E, 49850403
07VRGN-E, 152413267
07QDKJ-E, 58044784
0FRCG8-E, 139255735
07XK1L-E, 21711696
08WBSR-E, 194224948
001XQ1-E, 145232449
07TL8M-E, 49975252
05LHMY-E, 139220520
0CH9MG-E, 39673109
09T5JQ-E, 142823499
083XKC-E, 63209493
00D58K-E, 49769961
07W9T3-E, 57993626
0F7XFJ-E, 19155514
000NY7-E, 153487422
06FTKG-E, 49896568
09WH0D-E, 146715265
07QCDT-E, 156269163
0934ZJ-E, 156222111
07V1FD-E, 156267143
0863PG-E, 47202381
09WHVP-E, 146710464
06186Y-E, 143291121
07YGNG-E, 323294366
0FQWKC-E, 19890128
064XY0-E, 58980933
07W8Q0-E, 290513065
0GHCMF-E, 142904980
00CWQN-E, 137841979
07ZK9G-E, 308503719
09T7PF-E, 142919627
0FPT82-E, 156307104
085PTQ-E, 23016777
083XCW-E, 21627595
07W3TP-E, 35650705
05PGG5-E, 21801740
0C4BJF-E, 21786695
09T6TN-E, 146595847
064XJ7-E, 19214896
099CRK-E, 138709536
000NYW-E, 156189803
06M5JP-E, 63233916
